review,token
"Puas banget deh dengan pelayanan di hotel ini, mulai dari fasilitas hingga makanan nya rekomend banget buat yang mau nyari hotel bintang lima dengan harga yang masih dibilang standar, suasana hotel juga nyaman dan asri bikin jadi betah …","['puas', 'banget', 'deh', 'dengan', 'pelayanan', 'di', 'hotel', 'ini', 'mulai', 'dari', 'fasilitas', 'hingga', 'makanan', 'nya', 'rekomend', 'banget', 'buat', 'yang', 'mau', 'nyari', 'hotel', 'bintang', 'lima', 'dengan', 'harga', 'yang', 'masih', 'dibilang', 'standar', 'suasana', 'hotel', 'juga', 'nyaman', 'dan', 'asri', 'bikin', 'jadi', 'betah']"
"Menginap utk 3 malam dikamar tipe deluxe, ada beberapa spot lantai yg tidak sempat di vacum, tp overall kamar bersih dan terawat. Hanya saja saya tidak mendapatkan pemandangan dari jendela, pemandangan hanya kooridor tempat meeting😭😭 …","['menginap', 'utk', 'malam', 'dikamar', 'tipe', 'deluxe', 'ada', 'beberapa', 'spot', 'lantai', 'yg', 'tidak', 'sempat', 'di', 'vacum', 'tp', 'overall', 'kamar', 'bersih', 'dan', 'terawat', 'hanya', 'saja', 'saya', 'tidak', 'mendapatkan', 'pemandangan', 'dari', 'jendela', 'pemandangan', 'hanya', 'kooridor', 'tempat', 'meeting']"
"Overall nyaman, suasana oke.. kamar jg bersih, wangi.","['overall', 'nyaman', 'suasana', 'oke', 'kamar', 'jg', 'bersih', 'wangi']"
"Bagus,  hotel tengah kota yogyakarta. Kami nginap 3 hari cukup berkesan,  wlopun belum nyoba semua fasilitasnya karena tugas kantor,
Namun ada hal yg kurang, entah SOP atau pernah terjadi sesuatu terkait keamanan, …","['bagus', 'hotel', 'tengah', 'kota', 'yogyakarta', 'kami', 'nginap', 'hari', 'cukup', 'berkesan', 'wlopun', 'belum', 'nyoba', 'semua', 'fasilitasnya', 'karena', 'tugas', 'kantor', 'namun', 'ada', 'hal', 'yg', 'kurang', 'entah', 'sop', 'atau', 'pernah', 'terjadi', 'sesuatu', 'terkait', 'keamanan']"
"Senang menginap disini, makanannya enak-enak, ruangannya luas. Awalnya check-in ada air ac sedikit, tp tim gercep membetulkan dan semuanya sangat ramah, terutama mbak Devita dan satunya mas siapa kemarin malam ya yang langsung gercep menghubungi teknisi ketika ada permasalahan di ac.","['senang', 'menginap', 'disini', 'makanannya', 'enak', 'enak', 'ruangannya', 'luas', 'awalnya', 'check', 'in', 'ada', 'air', 'ac', 'sedikit', 'tp', 'tim', 'gercep', 'membetulkan', 'dan', 'semuanya', 'sangat', 'ramah', 'terutama', 'mbak', 'devita', 'dan', 'satunya', 'mas', 'siapa', 'kemarin', 'malam', 'ya', 'yang', 'langsung', 'gercep', 'menghubungi', 'teknisi', 'ketika', 'ada', 'permasalahan', 'di', 'ac']"
"tempatnya nyaman, staffnya baik","['tempatnya', 'nyaman', 'staffnya', 'baik']"
untuk sarapan paginya sangat enak banyak menunya dan layanan atas nama fifin sangat bagus semuanya memuaskan,"['untuk', 'sarapan', 'paginya', 'sangat', 'enak', 'banyak', 'menunya', 'dan', 'layanan', 'atas', 'nama', 'fifin', 'sangat', 'bagus', 'semuanya', 'memuaskan']"
"Makanannya enak, tempatnya nyaman, lokasi dekat dg perkotaan dan depan jalan raya. Bagus untuk staycation berhari-hari
Sesuai harapan dan recomend buat nginep","['makanannya', 'enak', 'tempatnya', 'nyaman', 'lokasi', 'dekat', 'dg', 'perkotaan', 'dan', 'depan', 'jalan', 'raya', 'bagus', 'untuk', 'staycation', 'berhari', 'hari', 'sesuai', 'harapan', 'dan', 'recomend', 'buat', 'nginep']"
"Makanannya enak"", paling favorit nasi goreng buat anak, dan overalla good","['makanannya', 'enak', 'paling', 'favorit', 'nasi', 'goreng', 'buat', 'anak', 'dan', 'overalla', 'good']"
"Sebelumnya pernah menginap di mercure surabaya & pontianak, dibanding kedua hotel tsb. menurut saya utk sisi rasa pada menu breakfast mercure yogya kurang nendang, alhasil 3 kali breakfast mengambil menu yg sama, yaitu gudeg 😁, lebih karena …","['sebelumnya', 'pernah', 'menginap', 'di', 'mercure', 'surabaya', 'pontianak', 'dibanding', 'kedua', 'hotel', 'tsb', 'menurut', 'saya', 'utk', 'sisi', 'rasa', 'pada', 'menu', 'breakfast', 'mercure', 'yogya', 'kurang', 'nendang', 'alhasil', 'kali', 'breakfast', 'mengambil', 'menu', 'yg', 'sama', 'yaitu', 'gudeg', 'lebih', 'karena']"
"Suka banget. Hospitality nya top!! Untuk makanan minuman enak dan nyaman…. Kalau boleh banyakkin menu2 asal jogja lagi yaa heheh. Gudeg, lupis, getuk, pecel ❤️❤️❤️","['suka', 'banget', 'hospitality', 'nya', 'top', 'untuk', 'makanan', 'minuman', 'enak', 'dan', 'nyaman', 'kalau', 'boleh', 'banyakkin', 'menu', 'asal', 'jogja', 'lagi', 'yaa', 'heheh', 'gudeg', 'lupis', 'getuk', 'pecel']"
Sarapan menu sangat bnyk n enak. Pelayanannya sangat ramah. @devita,"['sarapan', 'menu', 'sangat', 'bnyk', 'n', 'enak', 'pelayanannya', 'sangat', 'ramah', 'devita']"
"Saya setiap merayakan tahun baru selalu nginap hotel di Yogyakarta atau di Semarang, Baru mengalami di hotel ini untuk gala dinner harus reservasi bayar 500.000/ pack / orang, biasanya free 2 orang per kamar, sisanya baru bayar. Untuk hotel …","['saya', 'setiap', 'merayakan', 'tahun', 'baru', 'selalu', 'nginap', 'hotel', 'di', 'yogyakarta', 'atau', 'di', 'semarang', 'baru', 'mengalami', 'di', 'hotel', 'ini', 'untuk', 'gala', 'dinner', 'harus', 'reservasi', 'bayar', 'pack', 'orang', 'biasanya', 'free', 'orang', 'per', 'kamar', 'sisanya', 'baru', 'bayar', 'untuk', 'hotel']"
"Proses booking responnya sangat lambat, akhirnya krn kamar yg dipesan keburu habis, diupgrade
Pelayanan lain memuaskan …","['proses', 'booking', 'responnya', 'sangat', 'lambat', 'akhirnya', 'krn', 'kamar', 'yg', 'dipesan', 'keburu', 'habis', 'diupgrade', 'pelayanan', 'lain', 'memuaskan']"
"Secara keseluruhan utk makanan enaak.. kecuali krecek terlalu oily, encer.. hotel bagus t4 strategis","['secara', 'keseluruhan', 'utk', 'makanan', 'enaak', 'kecuali', 'krecek', 'terlalu', 'oily', 'encer', 'hotel', 'bagus', 't', 'strategis']"
"Hotelnya nyaman sekali, pelayanannya sangat memuaskan, stafnya ramah, kamar bersih dan rapi. Lokasinya cukup strategis dipinggir jalan mudah untuk mengakses kemanapun. Tingkat keamanan hotel pun sangat baik dan memuaskan karna tidak sembarang orang bisa masuk kamar.","['hotelnya', 'nyaman', 'sekali', 'pelayanannya', 'sangat', 'memuaskan', 'stafnya', 'ramah', 'kamar', 'bersih', 'dan', 'rapi', 'lokasinya', 'cukup', 'strategis', 'dipinggir', 'jalan', 'mudah', 'untuk', 'mengakses', 'kemanapun', 'tingkat', 'keamanan', 'hotel', 'pun', 'sangat', 'baik', 'dan', 'memuaskan', 'karna', 'tidak', 'sembarang', 'orang', 'bisa', 'masuk', 'kamar']"
"Toilet di ruang rapat Lt 6 nggk bisa dikunci, mushola sempit, aroma kurang sedap, yaaa b aja si, tp imo nggk worth it dengan rate segitu","['toilet', 'di', 'ruang', 'rapat', 'lt', 'nggk', 'bisa', 'dikunci', 'mushola', 'sempit', 'aroma', 'kurang', 'sedap', 'yaaa', 'b', 'aja', 'si', 'tp', 'imo', 'nggk', 'worth', 'it', 'dengan', 'rate', 'segitu']"
"Untuk breakfast lengkap bgt,.makanannya enak pool, pelayannann bernama  Lena ramah dan baik","['untuk', 'breakfast', 'lengkap', 'bgt', 'makanannya', 'enak', 'pool', 'pelayannann', 'bernama', 'lena', 'ramah', 'dan', 'baik']"
"Pelayanan ramah, variasi sarapan oke, lokasi strategis","['pelayanan', 'ramah', 'variasi', 'sarapan', 'oke', 'lokasi', 'strategis']"
"Untuk sarapannya lengkap semuanya ada, enak, saladnya fresh fres

Lena","['untuk', 'sarapannya', 'lengkap', 'semuanya', 'ada', 'enak', 'saladnya', 'fresh', 'fres', 'lena']"
"Kren ,...top markotop,menu & pelayanan nya..suupeer..","['kren', 'top', 'markotop', 'menu', 'pelayanan', 'nya', 'suupeer']"
Breakfast nya alhamdulillah enak,"['breakfast', 'nya', 'alhamdulillah', 'enak']"
"Untuk kamar nya cukup nyaman, pelayanan juga oke banget","['untuk', 'kamar', 'nya', 'cukup', 'nyaman', 'pelayanan', 'juga', 'oke', 'banget']"
"Sy membooking smpe 3hr, dikamar pertama sy komplain krn kamar ad suara berdengung kencang jd kami tdk bs istrht tenang, akhirnya diupgrade kmr yg lbh besar, krn kami dtg di moment lebaran jd kamar sisa ini.awal sy masuk kamar konsepnya agak …","['sy', 'membooking', 'smpe', 'hr', 'dikamar', 'pertama', 'sy', 'komplain', 'krn', 'kamar', 'ad', 'suara', 'berdengung', 'kencang', 'jd', 'kami', 'tdk', 'bs', 'istrht', 'tenang', 'akhirnya', 'diupgrade', 'kmr', 'yg', 'lbh', 'besar', 'krn', 'kami', 'dtg', 'di', 'moment', 'lebaran', 'jd', 'kamar', 'sisa', 'ini', 'awal', 'sy', 'masuk', 'kamar', 'konsepnya', 'agak']"
"Sarapan dan pelayanannya mantap, kamar nya bersih.. Mba nya juga ramah @Silvia  🥰 …","['sarapan', 'dan', 'pelayanannya', 'mantap', 'kamar', 'nya', 'bersih', 'mba', 'nya', 'juga', 'ramah', 'silvia']"
"Ruang rapatnya besar, kamarnya nyaman, lokasinya strategis dekat tempat kuliner di seberang jalan Demangan. Untuk makanan dan minumannya variasinya menunya boleh ditambah lagi. Terima kasih ✨✨","['ruang', 'rapatnya', 'besar', 'kamarnya', 'nyaman', 'lokasinya', 'strategis', 'dekat', 'tempat', 'kuliner', 'di', 'seberang', 'jalan', 'demangan', 'untuk', 'makanan', 'dan', 'minumannya', 'variasinya', 'menunya', 'boleh', 'ditambah', 'lagi', 'terima', 'kasih']"
Semoga safe deposit boxnya bisa lebih bagus ya.,"['semoga', 'safe', 'deposit', 'boxnya', 'bisa', 'lebih', 'bagus', 'ya']"
Sarapan paginya lengkap dan sangat enak layanan atas nama fifin baik dan ramah,"['sarapan', 'paginya', 'lengkap', 'dan', 'sangat', 'enak', 'layanan', 'atas', 'nama', 'fifin', 'baik', 'dan', 'ramah']"
Lokasi strategis dekat mall dan rumah sakit. Kamarnya oke. Ruang meeting-nya banyak dan proper.. snack rapatnya variatif dan enak-enak.. …,"['lokasi', 'strategis', 'dekat', 'mall', 'dan', 'rumah', 'sakit', 'kamarnya', 'oke', 'ruang', 'meeting', 'nya', 'banyak', 'dan', 'proper', 'snack', 'rapatnya', 'variatif', 'dan', 'enak', 'enak']"
Sarapan sambil bisa menikmati jalan kenangan semasa kuliah,"['sarapan', 'sambil', 'bisa', 'menikmati', 'jalan', 'kenangan', 'semasa', 'kuliah']"
Untuk makanannya lumayan banyak tetapi untuk kamar tidak sesuai dengan permintaan tanpa konfirmasi terlebih dahulu dan untuk pelayanan pada saat cek in pelayanannya kurang,"['untuk', 'makanannya', 'lumayan', 'banyak', 'tetapi', 'untuk', 'kamar', 'tidak', 'sesuai', 'dengan', 'permintaan', 'tanpa', 'konfirmasi', 'terlebih', 'dahulu', 'dan', 'untuk', 'pelayanan', 'pada', 'saat', 'cek', 'in', 'pelayanannya', 'kurang']"
"Overall experiencenya memuaskan, breakfast variatif dan kamar spacey dan bersih. khusus balkon kalau mau buka pintunya by request ke resepsionis ya.","['overall', 'experiencenya', 'memuaskan', 'breakfast', 'variatif', 'dan', 'kamar', 'spacey', 'dan', 'bersih', 'khusus', 'balkon', 'kalau', 'mau', 'buka', 'pintunya', 'by', 'request', 'ke', 'resepsionis', 'ya']"
"Hotel dengan lokasi strategis dekat bandara Adisucipto dan Mall. Makanan enak dan beragam. Fasilitas hotel cukup lengkap, ada kolam renang di lantai atas dan gym. Interior ornamen khas Yogya. Ruang meeting luas, tp blower AC berisik. …","['hotel', 'dengan', 'lokasi', 'strategis', 'dekat', 'bandara', 'adisucipto', 'dan', 'mall', 'makanan', 'enak', 'dan', 'beragam', 'fasilitas', 'hotel', 'cukup', 'lengkap', 'ada', 'kolam', 'renang', 'di', 'lantai', 'atas', 'dan', 'gym', 'interior', 'ornamen', 'khas', 'yogya', 'ruang', 'meeting', 'luas', 'tp', 'blower', 'ac', 'berisik']"
"Menu masakannya enak, pelayanan bagus, sempat minta dilayani mbak fifin, cepat dan tidak berteletele","['menu', 'masakannya', 'enak', 'pelayanan', 'bagus', 'sempat', 'minta', 'dilayani', 'mbak', 'fifin', 'cepat', 'dan', 'tidak', 'berteletele']"
"Pelayanan yang memuaskan, kebersihan dan kerapihan semua kamar dan ruangan selalu terjaga, serta breakfast yang cukup menarik.","['pelayanan', 'yang', 'memuaskan', 'kebersihan', 'dan', 'kerapihan', 'semua', 'kamar', 'dan', 'ruangan', 'selalu', 'terjaga', 'serta', 'breakfast', 'yang', 'cukup', 'menarik']"
"Menginap 4 D 3 N sangat nyaman Alhamdulillah.
Lokasi sangat strategis dan pelayanan cukup ramah.
Di sekeliling hotel banyak tempat makan enak. Seberang hotel ada bakmi batas kota yang ternyata enak, makin malam makin rame pengunjungnya.","['menginap', 'd', 'n', 'sangat', 'nyaman', 'alhamdulillah', 'lokasi', 'sangat', 'strategis', 'dan', 'pelayanan', 'cukup', 'ramah', 'di', 'sekeliling', 'hotel', 'banyak', 'tempat', 'makan', 'enak', 'seberang', 'hotel', 'ada', 'bakmi', 'batas', 'kota', 'yang', 'ternyata', 'enak', 'makin', 'malam', 'makin', 'rame', 'pengunjungnya']"
Sarapan pagi nya sangat enak enak dan pelayanan atas nama fifin sangat cepat dan ramah,"['sarapan', 'pagi', 'nya', 'sangat', 'enak', 'enak', 'dan', 'pelayanan', 'atas', 'nama', 'fifin', 'sangat', 'cepat', 'dan', 'ramah']"
"Fasilitas kamar hotel lengkap, tidak ada kendala, parkir memadai, makanan lengkap banyak pilihan mulai dari dissert, menu modern dan tradisional, minuman juga lengkap. Best service!","['fasilitas', 'kamar', 'hotel', 'lengkap', 'tidak', 'ada', 'kendala', 'parkir', 'memadai', 'makanan', 'lengkap', 'banyak', 'pilihan', 'mulai', 'dari', 'dissert', 'menu', 'modern', 'dan', 'tradisional', 'minuman', 'juga', 'lengkap', 'best', 'service']"
"Hospitality ny bagus, kamar bersih, untuk breakfast paling enak curry beef ny mantab...","['hospitality', 'ny', 'bagus', 'kamar', 'bersih', 'untuk', 'breakfast', 'paling', 'enak', 'curry', 'beef', 'ny', 'mantab']"
Sarapan nya mantap and Mak yus,"['sarapan', 'nya', 'mantap', 'and', 'mak', 'yus']"
"Iftar disini seru abiss
Tempat nyaman, makanan enak, pelayanan restaurant sangat baik. Recomendeddddd !!!","['iftar', 'disini', 'seru', 'abiss', 'tempat', 'nyaman', 'makanan', 'enak', 'pelayanan', 'restaurant', 'sangat', 'baik', 'recomendeddddd']"
"Hotel dan kamarnya bagus,nyaman dan bersih. Sarapannya juga oke bgt dan juga lengkap. Mulai dari makanan indonesia, western dan juga banyak sekali tersedia aneka pastry.","['hotel', 'dan', 'kamarnya', 'bagus', 'nyaman', 'dan', 'bersih', 'sarapannya', 'juga', 'oke', 'bgt', 'dan', 'juga', 'lengkap', 'mulai', 'dari', 'makanan', 'indonesia', 'western', 'dan', 'juga', 'banyak', 'sekali', 'tersedia', 'aneka', 'pastry']"
Sarapannya enak namun telurnya sebaiknya dibuat Dan disimpan di stock agar orang tidak menunggu pembuatan telur yg lama. Tksh,"['sarapannya', 'enak', 'namun', 'telurnya', 'sebaiknya', 'dibuat', 'dan', 'disimpan', 'di', 'stock', 'agar', 'orang', 'tidak', 'menunggu', 'pembuatan', 'telur', 'yg', 'lama', 'tksh']"
"Hotel nya bagus, lokasi strategis, petugas nya ramah, tapi klau malem dr resto suka ada bunyi kursi di pindahkan cuman front lobby nya bisa di ajak komunikasi untuk mengatasi masalah tersebut. Semoga makanan nya bisa lebih enak lagi","['hotel', 'nya', 'bagus', 'lokasi', 'strategis', 'petugas', 'nya', 'ramah', 'tapi', 'klau', 'malem', 'dr', 'resto', 'suka', 'ada', 'bunyi', 'kursi', 'di', 'pindahkan', 'cuman', 'front', 'lobby', 'nya', 'bisa', 'di', 'ajak', 'komunikasi', 'untuk', 'mengatasi', 'masalah', 'tersebut', 'semoga', 'makanan', 'nya', 'bisa', 'lebih', 'enak', 'lagi']"
"Sarapannya enak, dan variatif. Pelayanan dari mbak lena sangat baik","['sarapannya', 'enak', 'dan', 'variatif', 'pelayanan', 'dari', 'mbak', 'lena', 'sangat', 'baik']"
"Lokasi strategis, ruangan nyaman, makan enak dan higienis. Dekat stasiun jadi untuk saya yang orang Solo sangat nyaman menikmati menginap di Grand Mercure Yogyakarta","['lokasi', 'strategis', 'ruangan', 'nyaman', 'makan', 'enak', 'dan', 'higienis', 'dekat', 'stasiun', 'jadi', 'untuk', 'saya', 'yang', 'orang', 'solo', 'sangat', 'nyaman', 'menikmati', 'menginap', 'di', 'grand', 'mercure', 'yogyakarta']"
"Pertama kali kesini nemenin anak2 yg lagi diajak sama budhenya staycation semalam
Baru masuk pelayanannya ramah2 semua …","['pertama', 'kali', 'kesini', 'nemenin', 'anak', 'yg', 'lagi', 'diajak', 'sama', 'budhenya', 'staycation', 'semalam', 'baru', 'masuk', 'pelayanannya', 'ramah', 'semua']"
Hotelnya sangat bagus walaupun kamarnya agama kecil tetapi makanannya breakfastnya enak,"['hotelnya', 'sangat', 'bagus', 'walaupun', 'kamarnya', 'agama', 'kecil', 'tetapi', 'makanannya', 'breakfastnya', 'enak']"
"Pelayanan ramah semedulur, lokasi mudah dicari. Masakan enak dan beragam. Sayang kamar yang saya pesan tidak punya view.","['pelayanan', 'ramah', 'semedulur', 'lokasi', 'mudah', 'dicari', 'masakan', 'enak', 'dan', 'beragam', 'sayang', 'kamar', 'yang', 'saya', 'pesan', 'tidak', 'punya', 'view']"
"Tempat nya bagus dan enak, dan kamar hotelnya sangat dingin. Pelayanan nya juga mantap","['tempat', 'nya', 'bagus', 'dan', 'enak', 'dan', 'kamar', 'hotelnya', 'sangat', 'dingin', 'pelayanan', 'nya', 'juga', 'mantap']"
"Saya menginap di hotel grand mercure sangat nyaman, menu memuaskan, pelayanan prima","['saya', 'menginap', 'di', 'hotel', 'grand', 'mercure', 'sangat', 'nyaman', 'menu', 'memuaskan', 'pelayanan', 'prima']"
"Pengalaman menginap disana seru, lokasinya strategis dkt sama mall, serta fasilitas umum lainnya.","['pengalaman', 'menginap', 'disana', 'seru', 'lokasinya', 'strategis', 'dkt', 'sama', 'mall', 'serta', 'fasilitas', 'umum', 'lainnya']"
"Nasi goreng hijau mantap..
Terimakasih atas pelayanan yg ramah dari mba Aztuti..sukses sll","['nasi', 'goreng', 'hijau', 'mantap', 'terimakasih', 'atas', 'pelayanan', 'yg', 'ramah', 'dari', 'mba', 'aztuti', 'sukses', 'sll']"
"Hotel nyaman, kolam renang luas, makanan di restoran bervariasi & rasanya enak, hanya saja air shower keluarnya kecil.
Tp so far smua nyaman
Tx u mercure jogja sukses selalu","['hotel', 'nyaman', 'kolam', 'renang', 'luas', 'makanan', 'di', 'restoran', 'bervariasi', 'rasanya', 'enak', 'hanya', 'saja', 'air', 'shower', 'keluarnya', 'kecil', 'tp', 'so', 'far', 'smua', 'nyaman', 'tx', 'u', 'mercure', 'jogja', 'sukses', 'selalu']"
Salah satu hotel bintang lima di pusat kota jogyakarta. Memilih hotel ini untuk acara family gathering di tahun 2025 saat lebaran ini. Saat kedatangan dibuat kecewa dengan pelayanannya karena kamar belum ready semuanya. Alasannya di saat …,"['salah', 'satu', 'hotel', 'bintang', 'lima', 'di', 'pusat', 'kota', 'jogyakarta', 'memilih', 'hotel', 'ini', 'untuk', 'acara', 'family', 'gathering', 'di', 'tahun', 'saat', 'lebaran', 'ini', 'saat', 'kedatangan', 'dibuat', 'kecewa', 'dengan', 'pelayanannya', 'karena', 'kamar', 'belum', 'ready', 'semuanya', 'alasannya', 'di', 'saat']"
"overall menu yg disajikan cukup baik, banyak beraneka ragam menu nusantara dan luar
lebih diperhatikan tentang air wedang ronde nya yg kurang panas dan penyajian mie nya yg sudah dimasak terlebih dahulu, jadi ketika disajikan sudah dingin","['overall', 'menu', 'yg', 'disajikan', 'cukup', 'baik', 'banyak', 'beraneka', 'ragam', 'menu', 'nusantara', 'dan', 'luar', 'lebih', 'diperhatikan', 'tentang', 'air', 'wedang', 'ronde', 'nya', 'yg', 'kurang', 'panas', 'dan', 'penyajian', 'mie', 'nya', 'yg', 'sudah', 'dimasak', 'terlebih', 'dahulu', 'jadi', 'ketika', 'disajikan', 'sudah', 'dingin']"
"Allhamdulilah nyaman, dlm rangka kedinasan","['allhamdulilah', 'nyaman', 'dlm', 'rangka', 'kedinasan']"
"breakfast ok pelayanan , staff ramah","['breakfast', 'ok', 'pelayanan', 'staff', 'ramah']"
"sarapannya rasanyaa jossss, pelayanan sat set sama mb lena","['sarapannya', 'rasanyaa', 'jossss', 'pelayanan', 'sat', 'set', 'sama', 'mb', 'lena']"
"Untuk makanannya oke cukup beragam cuma bisa dikurangi manis nya atau asinnya

Untuk kamarnya cukup kaget karena beda dari beberapa tahun terakhir saya kesini. …","['untuk', 'makanannya', 'oke', 'cukup', 'beragam', 'cuma', 'bisa', 'dikurangi', 'manis', 'nya', 'atau', 'asinnya', 'untuk', 'kamarnya', 'cukup', 'kaget', 'karena', 'beda', 'dari', 'beberapa', 'tahun', 'terakhir', 'saya', 'kesini']"
"Lokasi strategis, varian masakan OK, ambience resto keren, view bagus...wajib kesini lagi","['lokasi', 'strategis', 'varian', 'masakan', 'ok', 'ambience', 'resto', 'keren', 'view', 'bagus', 'wajib', 'kesini', 'lagi']"
Sarapan paginya sangat enak menunya lengkap dan memuaskan layanan atas nama fifin baik dan ramah serta cepat,"['sarapan', 'paginya', 'sangat', 'enak', 'menunya', 'lengkap', 'dan', 'memuaskan', 'layanan', 'atas', 'nama', 'fifin', 'baik', 'dan', 'ramah', 'serta', 'cepat']"
Pelayanan dan makanan enak. Terima kasih mba silvia,"['pelayanan', 'dan', 'makanan', 'enak', 'terima', 'kasih', 'mba', 'silvia']"
Menanggapi kehilangan yang sebelumnya.. pihak management sudah melakukan tindak lanjut dan tindakan tegas pada siapapun yang terbukti. terima kasih semoga tidak terjadi lagi dan keamanan semakin ditingkatkan. Makasih,"['menanggapi', 'kehilangan', 'yang', 'sebelumnya', 'pihak', 'management', 'sudah', 'melakukan', 'tindak', 'lanjut', 'dan', 'tindakan', 'tegas', 'pada', 'siapapun', 'yang', 'terbukti', 'terima', 'kasih', 'semoga', 'tidak', 'terjadi', 'lagi', 'dan', 'keamanan', 'semakin', 'ditingkatkan', 'makasih']"
pelayanan serta fasilitas yang ada sangat memuaskan,"['pelayanan', 'serta', 'fasilitas', 'yang', 'ada', 'sangat', 'memuaskan']"
Makanan yang disajikan selalu baru dan banyak macamnya. Pelayanan cepat dan tempatnya bersih.,"['makanan', 'yang', 'disajikan', 'selalu', 'baru', 'dan', 'banyak', 'macamnya', 'pelayanan', 'cepat', 'dan', 'tempatnya', 'bersih']"
